,alphatauri,alpine,aston-martin,ferrari,haas,mclaren,mercedes,racing-bulls,rb,red-bull,williams
lewis-hamilton,8.2825,7.733333333333333,6.5808333333333335,6.7316666666666665,8.133333333333333,6.049166666666666,5.650833333333333,6.8533333333333335,7.078333333333333,5.965833333333333,8.325
george-russell,6.024166666666667,5.845833333333333,5.63,4.621666666666667,5.774166666666667,4.931666666666667,5.118333333333333,6.163333333333333,6.054166666666666,4.9366666666666665,5.94
fernando-alonso,9.796666666666667,8.944166666666666,8.405,8.251666666666667,9.5025,7.873333333333333,7.935,8.633333333333333,8.533333333333333,7.8075,9.8325
lando-norris,6.085,5.948333333333333,6.068333333333333,4.996666666666667,6.075833333333334,5.4591666666666665,5.5225,6.0675,6.064166666666667,5.118333333333333,6.115
max-verstappen,3.6258333333333335,3.3308333333333335,3.3291666666666666,2.8325,3.901666666666667,2.805833333333333,2.6033333333333335,3.81,3.3041666666666667,2.7225,3.8641666666666667
charles-leclerc,5.4175,5.134166666666666,5.375,4.266666666666667,5.388333333333334,4.725833333333333,4.738333333333333,5.363333333333333,5.373333333333333,4.453333333333333,5.5841666666666665
esteban-ocon,11.858333333333333,11.211666666666666,11.075833333333334,9.645,12.275833333333333,9.773333333333333,9.388333333333334,9.986666666666666,10.314166666666667,10.709166666666667,11.875833333333333
pierre-gasly,12.076666666666666,11.746666666666666,11.303333333333333,10.4225,12.3925,10.601666666666667,9.78,10.65,11.015,11.353333333333333,12.130833333333333
yuki-tsunoda,12.729166666666666,11.9725,11.6525,10.380833333333333,12.881666666666666,10.6075,9.901666666666667,10.638333333333334,11.225,11.615,12.783333333333333
alexander-albon,11.900833333333333,11.669166666666667,11.389166666666666,10.166666666666666,12.3,10.215833333333334,9.673333333333334,10.231666666666667,10.895,10.949166666666667,11.959166666666667
carlos-sainz-jr,8.503333333333334,7.608333333333333,6.5525,5.259166666666666,8.576666666666666,5.3675,5.104166666666667,6.8116666666666665,6.761666666666667,5.2125,8.4975
lance-stroll,12.534166666666666,12.384166666666667,12.305833333333334,10.745,12.335833333333333,10.773333333333333,9.8875,10.588333333333333,11.355,11.3425,12.22
